State,State FIPS,County FIPS,County Name,MPO,MSA_ID,MSA_bls,MSA_acs,Peer MSA,Chamber Study
AL,01,001,Autauga,,33860.0,"Montgomery, AL MSA","Montgomery, AL Metro Area",No,No
AL,01,003,Baldwin,,19300.0,"Daphne-Fairhope-Foley, AL MSA","Daphne-Fairhope-Foley, AL Metro Area",No,No
AL,01,005,Barbour,,,,,,
AL,01,007,Bibb,,13820.0,"Birmingham, AL MSA","Birmingham-Hoover, AL Metro Area",No,No
AL,01,009,Blount,,13820.0,"Birmingham, AL MSA","Birmingham-Hoover, AL Metro Area",No,No
AL,01,011,Bullock,,,,,,
AL,01,013,Butler,,,,,,
AL,01,015,Calhoun,,11500.0,"Anniston-Oxford, AL MSA","Anniston-Oxford, AL Metro Area",No,No
AL,01,017,Chambers,,46740.0,"LaGrange, GA-AL MicroSA",,,No
AL,01,019,Cherokee,,,,,,
AL,01,021,Chilton,,13820.0,"Birmingham, AL MSA","Birmingham-Hoover, AL Metro Area",No,No
AL,01,023,Choctaw,,,,,,
AL,01,025,Clarke,,,,,,
AL,01,027,Clay,,,,,,
AL,01,029,Cleburne,,,,,,
AL,01,031,Coffee,,21460.0,"Enterprise, AL MicroSA","Enterprise, AL Micro Area",No,No
AL,01,033,Colbert,,22520.0,"Florence-Muscle Shoals, AL MSA","Florence-Muscle Shoals, AL Metro Area",No,No
AL,01,035,Conecuh,,,,,,
AL,01,037,Coosa,,45180.0,"Talladega-Sylacauga, AL MicroSA","Talladega-Sylacauga, AL Micro Area",No,No
AL,01,039,Covington,,,,,,
AL,01,041,Crenshaw,,,,,,
AL,01,043,Cullman,,18980.0,"Cullman, AL MicroSA","Cullman, AL Micro Area",No,No
AL,01,045,Dale,,37120.0,"Ozark, AL MicroSA","Ozark, AL Micro Area",No,No
AL,01,047,Dallas,,42820.0,"Selma, AL MicroSA","Selma, AL Micro Area",No,No
AL,01,049,DeKalb,,,,,,
AL,01,051,Elmore,,33860.0,"Montgomery, AL MSA","Montgomery, AL Metro Area",No,No
AL,01,053,Escambia,,,,,,
AL,01,055,Etowah,,23460.0,"Gadsden, AL MSA","Gadsden, AL Metro Area",No,No
AL,01,057,Fayette,,,,,,
AL,01,059,Franklin,,,,,,
AL,01,061,Geneva,,20020.0,"Dothan, AL MSA","Dothan, AL Metro Area",No,No
AL,01,063,Greene,,,,,,
AL,01,065,Hale,,46220.0,"Tuscaloosa, AL MSA","Tuscaloosa, AL Metro Area",No,No
AL,01,067,Henry,,20020.0,"Dothan, AL MSA","Dothan, AL Metro Area",No,No
AL,01,069,Houston,,20020.0,"Dothan, AL MSA","Dothan, AL Metro Area",No,No
AL,01,071,Jackson,,42460.0,"Scottsboro, AL MicroSA","Scottsboro, AL Micro Area",No,No
AL,01,073,Jefferson,,13820.0,"Birmingham, AL MSA","Birmingham-Hoover, AL Metro Area",No,No
AL,01,075,Lamar,,,,,,
AL,01,077,Lauderdale,,22520.0,"Florence-Muscle Shoals, AL MSA","Florence-Muscle Shoals, AL Metro Area",No,No
AL,01,079,Lawrence,,19460.0,"Decatur, AL MSA","Decatur, AL Metro Area",No,No
AL,01,081,Lee,,12220.0,"Auburn-Opelika, AL MSA","Auburn-Opelika, AL Metro Area",No,No
AL,01,083,Limestone,,26620.0,"Huntsville, AL MSA","Huntsville, AL Metro Area",No,No
AL,01,085,Lowndes,,33860.0,"Montgomery, AL MSA","Montgomery, AL Metro Area",No,No
AL,01,087,Macon,,,,,,
AL,01,089,Madison,,26620.0,"Huntsville, AL MSA","Huntsville, AL Metro Area",No,No
AL,01,091,Marengo,,,,,,
AL,01,093,Marion,,,,,,
AL,01,095,Marshall,,10700.0,"Albertville, AL MicroSA","Albertville, AL Micro Area",No,No
AL,01,097,Mobile,,33660.0,"Mobile, AL MSA","Mobile, AL Metro Area",No,No
AL,01,099,Monroe,,,,,,
AL,01,101,Montgomery,,33860.0,"Montgomery, AL MSA","Montgomery, AL Metro Area",No,No
AL,01,103,Morgan,,19460.0,"Decatur, AL MSA","Decatur, AL Metro Area",No,No
AL,01,105,Perry,,,,,,
AL,01,107,Pickens,,46220.0,"Tuscaloosa, AL MSA","Tuscaloosa, AL Metro Area",No,No
AL,01,109,Pike,,45980.0,"Troy, AL MicroSA","Troy, AL Micro Area",No,No
AL,01,111,Randolph,,,,,,
AL,01,113,Russell,,17980.0,"Columbus, GA-AL MSA","Columbus, GA-AL Metro Area",No,No
