Year,Label,ID,Value1,Value2,Description,Suggested Weight,Indicator Name,Include,ID2,Description2,Data Type,Table Type
2023,Access to the Internet,ACCESSINET,0,0,N/A (GQ/vacant),WGTP,Chamber_H_11,Yes,ACCESSINET,N/A (GQ/vacant),group,H
2023,Access to the Internet,ACCESSINET,1,1,"Yes, by paying a cell phone company or Internet service provider",WGTP,Chamber_H_11,Yes,ACCESSINET,"Yes, by paying a cell phone company or Internet service provider",group,H
2023,Access to the Internet,ACCESSINET,2,2,"Yes, without paying a cell phone company or Internet service provider",WGTP,Chamber_H_11,Yes,ACCESSINET,"Yes, without paying a cell phone company or Internet service provider",group,H
2023,Access to the Internet,ACCESSINET,3,3,"No access to the Internet at this house, apartment, or mobile home",WGTP,Chamber_H_11,Yes,ACCESSINET,"No access to the Internet at this house, apartment, or mobile home",group,H
2023,Lot size,ACR,0,0,N/A (GQ/not a one-family house or mobile home),WGTP,,,,,,
2023,Lot size,ACR,1,1,House on less than one acre,WGTP,,,,,,
2023,Lot size,ACR,2,2,House on one to less than ten acres,WGTP,,,,,,
2023,Lot size,ACR,3,3,House on ten or more acres,WGTP,,,,,,
2023,Adjustment factor for housing dollar amounts (6 implied decimal places),ADJHSG,1000000,1000000,2023 factor (1.000000),WGTP,,,,,,
2023,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),ADJINC,1019518,1019518,2023 factor (1.019518),PWGTP,"Accessibility_2, Accessibility_4, Income_2",Yes,ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),integer,P
2023,Age,AGEP,1,99,1 to 99 years (Top-coded),PWGTP,Chamber_H_9,Yes,AGEP,Age,group integer,P
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,0,0,N/A (GQ/vacant/not a one family house or mobile home/less than 1 acre),WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,1,1,None,WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,2,2,$1 - $999,WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,3,3,$1000 - $2499,WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,4,4,$2500 - $4999,WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,5,5,$5000 - $9999,WGTP,,,,,,
2023,"Sales of Agriculture Products (yearly sales, no adjustment factor is applied)",AGS,6,6,$10000+,WGTP,,,,,,
2023,Ancestry recode,ANC,1,1,Single,PWGTP,,,,,,
2023,Ancestry recode,ANC,2,2,Multiple,PWGTP,,,,,,
2023,Ancestry recode,ANC,3,3,Unclassified,PWGTP,,,,,,
2023,Ancestry recode,ANC,4,4,Not reported,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,001,001,Alsatian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,003,003,Austrian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,005,005,Basque,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,008,008,Belgian,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,009,009,Flemish,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,011,011,British,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,012,012,British Isles,PWGTP,,,,,,
2023,Recoded Detailed Ancestry - first entry,ANC1P,020,020,Danish,PWGTP,,,,,,
