title,c_vintage,c_dataset,c_url,Sample,Estimate
2022 Annual Business Survey: Characteristics of Businesses,2022,abscb,https://api.census.gov/data/2022/abscb,,
2021 Annual Business Survey: Characteristics of Business,2021,abscb,https://api.census.gov/data/2021/abscb,,
2020 Annual Business Survey: Characteristics of Business,2020,abscb,https://api.census.gov/data/2020/abscb,,
2019 Annual Business Survey: Characteristics of Business,2019,abscb,https://api.census.gov/data/2019/abscb,,
Annual Business Survey: Characteristics of Businesses: 2018,2018,abscb,https://api.census.gov/data/2018/abscb,,
Annual Business Survey: Characteristics of Businesses: 2017,2017,abscb,https://api.census.gov/data/2017/abscb,,
2022 Annual Business Survey: Characteristics of Business Owners,2022,abscbo,https://api.census.gov/data/2022/abscbo,,
2021 Annual Business Survey: Characteristics of Business Owners,2021,abscbo,https://api.census.gov/data/2021/abscbo,,
2020 Annual Business Survey: Characteristics of Business Owners,2020,abscbo,https://api.census.gov/data/2020/abscbo,,
2019 Annual Business Survey: Characteristics of Business Owners,2019,abscbo,https://api.census.gov/data/2019/abscbo,,
Annual Business Survey: Characteristics of Business Owners: 2018,2018,abscbo,https://api.census.gov/data/2018/abscbo,,
Annual Business Survey: Characteristics of Business Owners: 2017,2017,abscbo,https://api.census.gov/data/2017/abscbo,,
2022 Annual Business Survey: Company Summary,2022,abscs,https://api.census.gov/data/2022/abscs,,
2021 Annual Business Survey: Company Summary,2021,abscs,https://api.census.gov/data/2021/abscs,,
2020 Annual Business Survey: Company Summary,2020,abscs,https://api.census.gov/data/2020/abscs,,
2019 Annual Business Survey: Company Summary,2019,abscs,https://api.census.gov/data/2019/abscs,,
2018 Annual Business Survey: Company Summary,2018,abscs,https://api.census.gov/data/2018/abscs,,
2017 Annual Business Survey: Company Summary,2017,abscs,https://api.census.gov/data/2017/abscs,,
2022 Annual Business Survey: Module Characteristics of Businesses,2022,absmcb,https://api.census.gov/data/2022/absmcb,,
2021 Annual Business Survey: Financing Characteristics of Businesses,2021,absmcb,https://api.census.gov/data/2021/absmcb,,
"2020 Annual Business Survey: Technology, Financing, and Management Practices Characteristics of Business",2020,absmcb,https://api.census.gov/data/2020/absmcb,,
2021 Nonemployer Statistics by Demographics Series (NES-D): Company Summary,2021,absnesd,https://api.census.gov/data/2021/absnesd,,
Economic Surveys: Nonemployer Statistics by Demographics: Company Summary,2020,absnesd,https://api.census.gov/data/2020/absnesd,,
2019 Nonemployer Statistics by Demographics Series (NES-D): Company Summary,2019,absnesd,https://api.census.gov/data/2019/absnesd,,
2018 Nonemployer Statistics by Demographics Series (NES-D): Company Summary,2018,absnesd,https://api.census.gov/data/2018/absnesd,,
2021 Nonemployer Statistics by Demographics Series (NES-D): Owner Characteristics of Nonemployer Firms,2021,absnesdo,https://api.census.gov/data/2021/absnesdo,,
Economic Surveys: Nonemployer Statistics by Demographics: Characteristics of Business Owners,2020,absnesdo,https://api.census.gov/data/2020/absnesdo,,
2019 Nonemployer Statistics by Demographics Series (NES-D): Owner Characteristics of Nonemployer Firms,2019,absnesdo,https://api.census.gov/data/2019/absnesdo,,
2018 Nonemployer Statistics by Demographics Series (NES-D): Owner Characteristics of Nonemployer Firms,2018,absnesdo,https://api.census.gov/data/2018/absnesdo,,
Annual Business Survey: Technology Characteristics of Businesses: 2018,2018,abstcb,https://api.census.gov/data/2018/abstcb,,
