date_,file_name,count
2024-09-23,Pop_2_DOF_Jurisdictions.xlsx,1
2024-09-23,Pop_3 Counties ACS5.xlsx,10
2024-09-24,Income_1 MPO ACS5.xlsx,1
2024-09-24,Income_1 MSA ACS5.xlsx,1
2024-09-24,Income_2 MPO PUMS5.xlsx,1
2024-09-24,Income_3 Counties ACS5.xlsx,1
2024-09-24,Income_3 MPO ACS5.xlsx,1
2024-09-24,Income_4 Counties ACS5.xlsx,1
2024-09-24,Income_4 Counties.xlsx,1
2024-09-24,Income_4 MPO ACS5.xlsx,1
2024-09-24,Jobs_2 MPO BLS SM.xlsx,2
2024-09-24,Jobs_3 MSA BLS SM.xlsx,1
2024-09-24,Jobs_4 Counties LEHD.xlsx,1
2024-09-24,Jobs_4 MPO LEHD.xlsx,1
2024-09-24,Jobs_4 MSA LEHD.xlsx,1
2024-09-24,Output_1_MSA_BEA.xlsx,1
2024-09-24,Wealth_Metrics download.xlsx,1
2024-09-24,favicon.ico,2
2024-09-25,Accessibility_1 Counties PUMS5.xlsx,1
2024-09-25,Accessibility_1 MPO PUMS5.xlsx,1
2024-09-25,Accessibility_1 MSA PUMS5.xlsx,1
2024-09-25,Accessibility_2 Counties PUMS5.xlsx,1
2024-09-25,Accessibility_2 MPO PUMS5.xlsx,1
2024-09-25,Accessibility_3 Counties PUMS5.xlsx,1
2024-09-25,Accessibility_3 MPO PUMS5.xlsx,1
2024-09-25,Accessibility_4 Counties PUMS5.xlsx,1
2024-09-25,Accessibility_4 MPO PUMS5.xlsx,1
2024-09-25,Broadband_2 Counties ACS5.xlsx,1
2024-09-25,Broadband_2 MPO ACS5.xlsx,1
2024-09-25,Broadband_2 Tracts ACS5.xlsx,1
2024-09-25,Commute_1 MPO ACS5.xlsx,1
2024-09-25,Commute_1 MSA ACS5.xlsx,1
2024-09-25,Commute_2 SACOG RTIS.xlsx,1
2024-09-25,Commute_2_Counties_ACS5.xlsx,1
2024-09-25,Commute_2_MPO_ACS5.xlsx,1
2024-09-25,Congestion_1 UZA RTIS.xlsx,1
2024-09-25,Congestion_2 SACOG RTIS.xlsx,1
2024-09-25,Congestion_3 SACOG RTIS.xlsx,1
2024-09-25,Cost_1 Sales Price.xlsx,1
2024-09-25,Cost_2 Rent Price.xlsx,1
2024-09-25,Cost_3 Counties ACS5.xlsx,1
2024-09-25,Cost_3 MPO ACS5.xlsx,1
2024-09-25,Cost_3 Tracts ACS5.xlsx,1
2024-09-25,Cost_4 Counties_SACOG HCD Summarized Data.xlsx,1
2024-09-25,Cost_4 Jurisdictions_SACOG HCD Summarized Data.xlsx,1
2024-09-25,Cost_4 MPO_SACOG HCD Summarized Data.xlsx,1
2024-09-25,Cost_5 Counties ACS5.xlsx,1
2024-09-25,Cost_5 MPO ACS5.xlsx,1
2024-09-25,Cost_5 MSA ACS5.xlsx,1
2024-09-25,Cost_6 Counties PUMS5.xlsx,1
2024-09-25,Cost_6 MPO PUMS5.xlsx,1
2024-09-25,Cost_6 MSA PUMS5.xlsx,1
2024-09-25,Cost_8 Homelessness.xlsx,1
2024-09-25,Edu_1 Counties ACS5.xlsx,1
2024-09-25,Edu_1 MPO ACS5.xlsx,1
2024-09-25,Edu_1 Tracts ACS5.xlsx,1
2024-09-25,Edu_2.xlsx,1
2024-09-25,Edu_3 A-G.xlsx,1
2024-09-25,Health_1 Counties CPS.xlsx,1
2024-09-25,Health_1 MPO CPS.xlsx,1
2024-09-25,Health_2 Counties ACS1.xlsx,1
2024-09-25,Health_2 Counties ACS5.xlsx,1
2024-09-25,Health_2 MPO ACS1.xlsx,1
2024-09-25,Health_2 MPO ACS5.xlsx,1
2024-09-25,Health_4 MPO IHME.xlsx,1
2024-09-25,Homelessness.xlsx,1
2024-09-25,Labor_1 Counties ACS5.xlsx,1
2024-09-25,Labor_1 MPO ACS5.xlsx,1
2024-09-25,Labor_1 Tracts ACS5.xlsx,1
2024-09-25,Labor_2 MSA BLS LA.xlsx,1
2024-09-25,Location_1 Counties SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_1 Jurisdictions SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_1 MPO SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2a Counties SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2a Jurisdictions SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2a MPO SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2b Counties SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2b Jurisdictions SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_2b MPO SACOG Housing Permit Data.xlsx,1
2024-09-25,Location_3.xlsx,1
2024-09-25,Location_4 Fire and Flood.xlsx,1
2024-09-25,Policy_5 MPO SACOG Housing Permit Data_Time Periods.xlsx,1
2024-09-25,Pop_1 DOF Counties.xlsx,1
2024-09-25,Pop_2 DOF Counties.xlsx,1
2024-09-25,Pop_2 DOF Counties_5 Year Time Series.xlsx,1
2024-09-25,Pop_2 DOF Jurisdictions.xlsx,1
2024-09-25,Pop_3 Counties ACS5.xlsx,1
2024-09-25,Pop_3 MPO ACS5.xlsx,1
2024-09-25,Pop_3 MSA ACS5.xlsx,1
2024-09-25,Pop_3 Tracts ACS5.xlsx,1
2024-09-25,Pop_4 Counties ACS5.xlsx,1
2024-09-25,Pop_4 MPO ACS5.xlsx,1
2024-09-25,Pop_4 Tracts ACS5.xlsx,1
2024-09-25,Pop_5 DOF Counties.xlsx,1
2024-09-25,Pop_5 DOF Jurisdictions.xlsx,1
2024-09-25,Pop_5 DOF MPO.xlsx,1
2024-09-25,Production_1 Counties SACOG Housing Permit Data.xlsx,1
2024-09-25,Production_1 Jurisdictions SACOG Housing Permit Data.xlsx,1
2024-09-25,Production_1 MPO SACOG Housing Permit Data.xlsx,1
2024-09-25,Production_2 Counties DOF Summarized Data.xlsx,1
2024-09-25,Production_2 Jurisdictions DOF Summarized Data.xlsx,1
2024-09-25,Production_2 MPO DOF Summarized Data.xlsx,1
2024-09-25,Production_3 Counties DOF Summarized Data.xlsx,1
2024-09-25,Production_3 Jurisdictions DOF Summarized Data.xlsx,1
2024-09-25,Production_3 MPO DOF Summarized Data.xlsx,1
2024-09-25,Production_4 Counties SACOG Housing and DOF Population Data.xlsx,1
2024-09-25,Production_4 Jurisdictions SACOG Housing and DOF Population Data.xlsx,1
2024-09-25,Production_4 MPO SACOG Housing and DOF Population Data.xlsx,1
2024-09-25,Production_6 Counties SACOG Housing Permit Data.xlsx,1
2024-09-25,Production_6 Jurisdictions SACOG Housing Permit Data.xlsx,1
2024-09-25,Production_6 MPO SACOG Housing Permit Data.xlsx,1
2024-09-25,Road_1 Gas Price download.xlsx,1
2024-09-25,Road_4 ZEV_Sales download.xlsx,1
2024-09-25,Safety_1 Counties TIMS.xlsx,1
2024-09-25,Safety_1 Jurisdictions TIMS.xlsx,1
2024-09-25,Safety_1 MPO TIMS.xlsx,1
2024-09-25,Safety_2 Counties TIMS.xlsx,1
2024-09-25,Safety_2 Jurisdictions TIMS.xlsx,1
2024-09-25,Safety_2 MPO TIMS.xlsx,1
2024-09-25,Safety_3 TIMS.xlsx,1
2024-09-25,Transit measures_download.xlsx,1
2024-09-25,VMT_1 Per Capita Trends.xlsx,1
2024-09-25,VMT_2 SACOG region.xlsx,1
2024-09-25,favicon.ico,4
2024-09-26,Accessibility_4 Counties PUMS5.xlsx,1
2024-09-26,Commute_1 MPO ACS5.xlsx,1
2024-09-26,Edu_1 Counties ACS5.xlsx,1
2024-09-26,Edu_1 MPO ACS5.xlsx,1
2024-09-26,Edu_1 Tracts ACS5.xlsx,1
2024-09-26,Edu_2.xlsx,1
