date_,Geography,Variable,Value
2000-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,657400.0
2000-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,667000.0
2000-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,674300.0
2000-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,675000.0
2000-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,682400.0
2000-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,687700.0
2000-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,679200.0
2000-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,688400.0
2000-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,695100.0
2000-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,697200.0
2000-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,701600.0
2000-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,702400.0
2001-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,687100.0
2001-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,692200.0
2001-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,695100.0
2001-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,690900.0
2001-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,690700.0
2001-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,690400.0
2001-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,675400.0
2001-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,680600.0
2001-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,683800.0
2001-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,680100.0
2001-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,679600.0
2001-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,677500.0
2002-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,663300.0
2002-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,667800.0
2002-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,670799.9999999991
2002-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,672200.0
2002-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,674400.0
2002-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,669100.0
2002-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,660700.0
2002-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,666000.0
2002-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,671500.0
2002-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,669800.0
2002-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,673500.0
2002-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,672000.0
2003-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,657600.0
2003-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,660200.0
2003-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,660700.0
2003-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,664700.0
2003-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,666600.0
2003-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,665600.0
2003-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,657600.0
2003-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,660800.0
2003-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,666400.0
2003-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,667199.9999999991
2003-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,668899.9999999991
2003-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,670699.9999999991
2004-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,659900.0
2004-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,667200.0
2004-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,672800.0
2004-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,676900.0
2004-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,679500.0
2004-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,679900.0
2004-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,673400.0
2004-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,678100.0
2004-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,684600.0
2004-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,688600.0
2004-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,692300.0
2004-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,694300.0
2005-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,684700.0
2005-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,692100.0
2005-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,697300.0
2005-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,703000.0
2005-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,706200.0
2005-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,707300.0
2005-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,700200.0
2005-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,703200.0
2005-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,712300.0
2005-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,711500.0
2005-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,718200.0
2005-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,720300.0
2006-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,709400.0
2006-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,717400.0
2006-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,724300.0
2006-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,730300.0
2006-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,734800.0
2006-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,738100.0
2006-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,726500.0
2006-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,734500.0
2006-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,749800.0
2006-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,751200.0
2006-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,758100.0
2006-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,763200.0
2007-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,746300.0
2007-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,758500.0
2007-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,766700.0
2007-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,769700.0
2007-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,774600.0
2007-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,777800.0
2007-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,765800.0
2007-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,769600.0
2007-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,778800.0
2007-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,782500.0
2007-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,787800.0
2007-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,789200.0
2008-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,779300.0
2008-02-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,787500.0
2008-03-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,789800.0
2008-04-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,791900.0
2008-05-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,795800.0
2008-06-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,795800.0
2008-07-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,783000.0
2008-08-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,786600.0
2008-09-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,795600.0
2008-10-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,796200.0
2008-11-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,798800.0
2008-12-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,795800.0
2009-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total,776000.0
