date_,Geography,Variable,Value
2024-06-01,National,Goods Producing,22085000
2024-06-01,National,Government,23202000
2024-06-01,National,Service-Providing,137307000
2024-06-01,National,Total Private,136190000
2024-05-01,National,Goods Producing,21834000
2024-05-01,National,Government,23558000
2024-05-01,National,Service-Providing,137011000
2024-05-01,National,Total Private,135287000
2024-04-01,National,Goods Producing,21656000
2024-04-01,National,Government,23597000
2024-04-01,National,Service-Providing,136345000
2024-04-01,National,Total Private,134404000
2024-03-01,National,Goods Producing,21515000
2024-03-01,National,Government,23580000
2024-03-01,National,Service-Providing,135695000
2024-03-01,National,Total Private,133630000
2024-02-01,National,Goods Producing,21399000
2024-02-01,National,Government,23453000
2024-02-01,National,Service-Providing,135152000
2024-02-01,National,Total Private,133098000
2024-01-01,National,Goods Producing,21313000
2024-01-01,National,Government,23002000
2024-01-01,National,Service-Providing,134119000
2024-01-01,National,Total Private,132430000
2023-12-01,National,Goods Producing,21684000
2023-12-01,National,Government,23368000
2023-12-01,National,Service-Providing,136585000
2023-12-01,National,Total Private,134901000
2023-11-01,National,Goods Producing,21768000
2023-11-01,National,Government,23466000
2023-11-01,National,Service-Providing,136579000
2023-11-01,National,Total Private,134881000
2023-10-01,National,Goods Producing,21819000
2023-10-01,National,Government,23328000
2023-10-01,National,Service-Providing,136059000
2023-10-01,National,Total Private,134550000
2023-09-01,National,Goods Producing,21818000
2023-09-01,National,Government,22984000
2023-09-01,National,Service-Providing,135027000
2023-09-01,National,Total Private,133861000
2023-08-01,National,Goods Producing,21916000
2023-08-01,National,Government,22029000
2023-08-01,National,Service-Providing,134439000
2023-08-01,National,Total Private,134326000
2023-07-01,National,Goods Producing,21889000
2023-07-01,National,Government,21610000
2023-07-01,National,Service-Providing,134092000
2023-07-01,National,Total Private,134371000
2023-06-01,National,Goods Producing,21860000
2023-06-01,National,Government,22609000
2023-06-01,National,Service-Providing,134982000
2023-06-01,National,Total Private,134233000
2023-05-01,National,Goods Producing,21574000
2023-05-01,National,Government,22962000
2023-05-01,National,Service-Providing,134558000
2023-05-01,National,Total Private,133170000
2023-04-01,National,Goods Producing,21403000
2023-04-01,National,Government,22962000
2023-04-01,National,Service-Providing,133798000
2023-04-01,National,Total Private,132239000
2023-03-01,National,Goods Producing,21218000
2023-03-01,National,Government,22886000
2023-03-01,National,Service-Providing,133035000
2023-03-01,National,Total Private,131367000
2023-02-01,National,Goods Producing,21159000
2023-02-01,National,Government,22804000
2023-02-01,National,Service-Providing,132658000
2023-02-01,National,Total Private,131013000
2023-01-01,National,Goods Producing,21062000
2023-01-01,National,Government,22375000
2023-01-01,National,Service-Providing,131626000
2023-01-01,National,Total Private,130313000
2022-12-01,National,Goods Producing,21379000
2022-12-01,National,Government,22645000
2022-12-01,National,Service-Providing,133832000
2022-12-01,National,Total Private,132566000
2022-11-01,National,Goods Producing,21501000
2022-11-01,National,Government,22818000
2022-11-01,National,Service-Providing,134018000
2022-11-01,National,Total Private,132701000
2022-10-01,National,Goods Producing,21554000
2022-10-01,National,Government,22656000
2022-10-01,National,Service-Providing,133382000
2022-10-01,National,Total Private,132280000
2022-09-01,National,Goods Producing,21499000
2022-09-01,National,Government,22354000
