date,MSA,Variable,Value
2000-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Government,138700.0
2000-01-01,"Austin-Round Rock-Georgetown, TX Metro Area",Total Private,518700.00000000006
2000-01-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Government,109500.0
2000-01-01,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Total Private,802600.0
2000-01-01,"Cincinnati, OH-KY-IN Metro Area",Government,122800.0
2000-01-01,"Cincinnati, OH-KY-IN Metro Area",Total Private,869600.0
2000-01-01,"Cleveland-Elyria, OH Metro Area",Government,138400.0
2000-01-01,"Cleveland-Elyria, OH Metro Area",Total Private,975300.0
2000-01-01,"Columbus, OH Metro Area",Government,149900.0
2000-01-01,"Columbus, OH Metro Area",Total Private,760200.0
2000-01-01,"Detroit-Warren-Dearborn, MI Metro Area",Government,234300.0
2000-01-01,"Detroit-Warren-Dearborn, MI Metro Area",Total Private,1925200.0
2000-01-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Government,114600.0
2000-01-01,"Indianapolis-Carmel-Anderson, IN Metro Area",Total Private,761900.0
2000-01-01,"Kansas City, MO-KS Metro Area",Government,133500.0
2000-01-01,"Kansas City, MO-KS Metro Area",Total Private,823900.0
2000-01-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Government,286700.0
2000-01-01,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Total Private,1834600.0
2000-01-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Government,90900.0
2000-01-01,"Orlando-Kissimmee-Sanford, FL Metro Area",Total Private,797400.0
2000-01-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Government,192300.0
2000-01-01,"Phoenix-Mesa-Chandler, AZ Metro Area",Total Private,1341400.0
2000-01-01,"Pittsburgh, PA Metro Area",Government,127000.0
2000-01-01,"Pittsburgh, PA Metro Area",Total Private,988300.0
2000-01-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Government,129100.0
2000-01-01,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Total Private,825700.0
2000-01-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Government,189300.0
2000-01-01,"Riverside-San Bernardino-Ontario, CA Metro Area",Total Private,781900.0
2000-01-01,"Sacramento-Roseville-Folsom, CA Metro Area",Government,207700.0
2000-01-01,"Sacramento-Roseville-Folsom, CA Metro Area",Total Private,574100.0
2000-01-01,"Salt Lake City, UT Metro Area",Government,79700.0
